Latitude,Longitude
48.5600147488,12.1366223689
48.5390797532,12.0959665032
53.3636784825,9.8725737345
48.5393401291,12.1559149436
53.456243057,9.9878995917
50.8324140045,9.57176968016
48.4856775041,12.0145954737
50.8619101,9.7203601
53.457747347,9.98755470433
48.6264739757,12.3189561512
48.4543208103,12.3338999803
53.460230723,9.9817840397
50.96228975,9.78981124868
48.4119094357,10.439983831
49.901191,8.6085118
53.7423793965,9.94416871815
49.447264842,11.082351971
48.6828426032,9.00091565095
49.3820038668,11.3415933273
50.1149522771,8.68620213714
48.112949075,11.5760900826
47.9605360015,8.51321468284
51.1660726436,6.84608714297
50.5918574417,13.0106228845
52.4276097438,10.81141685
50.8190891253,8.77463360013
51.3327280644,7.02034112838
49.3262326577,8.53974544978
48.15685745,11.5837017566
49.984343366,8.4298388745
51.1808554104,7.2416132611
51.9800950628,8.48054612986
52.9179271938,12.7847215294
52.5299686455,13.0832270124
52.5072568352,13.2796986398
51.8320622,12.2432144
49.444021846,11.8307322146
47.9082504968,7.59295613102
51.6962183331,7.96555851842
50.9161440527,6.71435513985
49.7689039789,10.4693602036
53.37041465,9.80062365
48.1375372877,11.5633615315
47.6756446552,9.15240328808
48.2157029635,9.8769846592
49.4426516298,6.626028119
53.015927282,7.85238006459
50.1142064125,8.67557186202
48.1970934999,10.7589557204
53.6282265988,11.4090589023
48.1303630195,11.5581415537
49.6499359799,8.36180350297
50.8859765772,7.63635866321
49.3436547881,7.17411529267
50.1322631509,8.91719027371
48.1421847244,11.5506050337
52.1604194435,12.7822048521
53.6087298775,10.0460823941
48.1171161,11.5391166
50.77893985,6.2213787
50.7675906494,7.31268518458
50.8988432761,14.7843405906
50.9419108644,6.95617857801
53.5706377532,10.1438219337
52.4696481895,13.371281117
53.5047458768,10.0901321195
49.4954479304,9.76242082869
51.494789,7.371116
50.9284368821,6.94217606877
51.6928115261,9.98959935806
51.4637023265,11.9073675386
51.1614700907,7.00389963341
48.5639659141,11.2889180527
53.0487050185,8.62916548012
52.2657486983,9.07128009166
52.2540265402,10.6543651893
52.3371022937,14.0767714645
51.474445718,7.1491201108
49.3088989804,12.0985726629
50.5142206749,10.7522611127
48.8225980278,8.29553413455
47.6645806877,9.57821805655
49.0383208515,8.68920400894
52.4696045456,13.4421830082
53.553385055,10.007154486
48.7470971602,11.4667823274
51.1473936322,8.03232416562
51.976579,9.27799495858
50.5517707193,11.7906028757
50.9367561651,6.93990968724
48.1491790845,11.5628266962
52.2626671618,8.07078126338
51.2172908,6.8233553
47.7658189582,11.3589589609
53.5427848903,10.026907987
53.5187865687,13.2606922633
49.4517023928,8.42181293089
51.1941588686,6.43601013907
52.3333275453,9.4137894962
50.1162626896,7.60005118861
49.5505040689,8.45034664989
47.8286481926,11.9031853843
53.0656927614,8.77051506401
50.8417763773,12.444462612
49.9986897721,8.2717878913
48.1397885028,11.5028318165
47.576297339,7.79635299395
49.6223894897,9.66803025863
51.569193708,7.6735537195
48.0438667959,10.6223322573
53.5605806616,9.99013518516
50.7927160051,7.1747329119
49.3386881196,8.15984811347
50.8899727107,11.8722170555
53.0117881438,8.70224846131
50.9429071595,7.29737203853
49.0108073904,12.1011688947
48.406978284,10.9525981741
51.9545131475,7.97167630495
49.6646235137,12.1539679103
51.2189674956,6.78402056946
47.8862841395,11.689257957
50.9584809384,6.80048227419
50.1573013962,8.63246894502
52.3745072006,9.73869478558
48.1840518359,11.5310640647
52.4104615188,13.3816635732
53.8484868854,10.6775638506
52.52702566,13.2333881116
48.0652608523,11.553121958
51.5078527701,6.54351155421
50.7342171484,7.13178982352
50.90832547,12.0661252336
51.2020159,9.46834475955
50.763069794,6.9771273584
53.5189921248,8.11778590506
54.4724283015,9.82809232082
49.8715706297,8.91417682925
49.5960739922,11.004180648
48.0240518055,7.58512848491
51.616257896,7.52771636209
51.4303323884,6.88649861447
50.047807345,8.562305471
49.3565870852,6.72012618747
50.8916245499,6.90173318635
49.3291661367,7.32044249179
52.6009190533,13.5156183419
52.6012529201,10.1072333629
48.8658371544,8.22301142201
51.2788549921,7.02033844582
51.4686992312,7.27037474878
53.083014407,8.812488924
47.9849198966,7.81999899991
50.87764675,11.6207363049
